path,retention_class,size_mb,file_count,manifest_action,approval_required,protected_exclusion,rule,recovery_route,notes
out/housekeeping,audit_history,1851.913,1778,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/locks,current_runtime,21.916,8433,exclude_keep,no,yes,"Live runtime, locks, and current proof stay protected.",Not applicable - no cleanup action is proposed.,protected live runtime or proof area
out/logs,audit_history,0.13,2,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/manifests,audit_history,233.258,36519,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/migration_backups,rollback,2.626,38,manifest_keep_count_review,yes,no,Rollback folders need a fixed keep-count policy before archive or purge.,No action taken. Rollback sources remain available for recovery.,rollback protected until keep-count policy exists
out/monitoring,audit_history,0.01,5,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/overnight_backups,rollback,0.424,8,manifest_keep_count_review,yes,no,Rollback folders need a fixed keep-count policy before archive or purge.,No action taken. Rollback sources remain available for recovery.,rollback protected until keep-count policy exists
out/parking,current_runtime,0.012,2,exclude_keep,no,yes,"Live runtime, locks, and current proof stay protected.",Not applicable - no cleanup action is proposed.,runtime/business parking evidence protected
out/process_guides,audit_history,1.934,91,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/proof,audit_history,111.006,863,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/proof_runs,audit_history,0.345,26,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/pytest_basetemp_p013_o050,temp_debug,0,0,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/pytest_tmp,temp_debug,0,0,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/pytest_tmp_run,temp_debug,0,0,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/reports,audit_history,15.713,466,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/reviews,audit_history,0.039,13,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/snapshots,audit_history,375.551,10275,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
out/sql,current_runtime,1176.723,1,exclude_keep,no,yes,"Live runtime, locks, and current proof stay protected.",Not applicable - no cleanup action is proposed.,protected live runtime or proof area
out/sql_migration,audit_history,795.556,585,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.",migration proof/history protected until reviewed
out/systems,current_runtime,140629.435,191488,exclude_keep,no,yes,"Live runtime, locks, and current proof stay protected.",Not applicable - no cleanup action is proposed.,protected live runtime or proof area
out/tmp,temp_debug,0.001,12,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_f061_pre_review_gate_proof,temp_debug,0.009,10,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_f061_seller_evidence_plusplus_proof,temp_debug,0.208,10,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_f061_seller_evidence_proof,temp_debug,0.009,10,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_phase_engine_backcompat,temp_debug,0.001,2,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_phase_engine_backcompat2,temp_debug,0,2,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_phase_engine_dry,temp_debug,0.054,43,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_phase_engine_fasttrack_test,temp_debug,0.003,5,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_phase_engine_fasttrack_test2,temp_debug,0.002,5,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_phase_engine_grace_test,temp_debug,0.003,5,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_phase_engine_inventory_accel_test,temp_debug,0.002,5,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_phase_engine_low_velocity_test,temp_debug,0.001,2,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_phase_engine_recovery_streak_test,temp_debug,0.002,5,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_phase_engine_scenario_c_rerun,temp_debug,0.002,5,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/tmp_phase_engine_scenarios,temp_debug,0.001,5,preview_purge_candidate,yes,no,Dry-run purge candidate only after active-owner and lock checks.,"No action taken. Before apply, create an exact purge manifest and rollback or quarantine route.",candidate only after manifest and active-owner check
out/waiting_room,audit_history,1.182,96,preview_archive_candidate,yes,no,Audit and proof history may be archived by exact manifest only.,"No action taken. Before apply, create archive destination and restore route.","proof or operational history, not bulk delete"
