"job_ref","packet","flow","task_type","status","luke_action_required","lane_class","reason"
"B-LEVEL3-SERVICEFEE-PATH","MGR_B_LEVEL3_SERVICEFEE_SUPERSEDED_PATH_V1.md","B","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-MONEY-HANDOFF-SPLIT","MGR_B_MONEY_HANDOFF_SPLIT_V1.md","B","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-NO-REPLACEMENT-REVIEW","MGR_B_NO_REPLACEMENT_SHORTAGE_EXCEPTION_REVIEW_V1.md","B","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-PNL-DAILY","MOT_B_B_PNL_DAILY.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-PNL-FRESHNESS","MGR_B_PNL_FRESHNESS_WARNING_REVIEW_V1.md","B","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-REFUND-FEE-SHIPPING","MGR_B_repair_b_sellerboard_refund_fee_roi_bridge.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-REFUND-FEE-SHIPPING-GAPS","MGR_B_REFUND_FEE_SHIPPING_API_GAP_REVIEW_V1.md","B","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-REFUND-TOKEN-LANES","MGR_B_REFUND_TOKEN_REMAINING_LANES_V1.md","B","manager_lane_completion","proved","0","parked with reason","Already proved/closed; no worker needed now"
"B-SHEET-TOKEN-COUNT-CHECK","MGR_B_DIRECT_SHEET_TOKEN_COUNT_CHECK_V1.md","B","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"E-10-RUN-BASELINE","MGR_E_RELIABILITY_BASELINE_10_RUNS_V1.md","E","proof_gap","proved","0","parked with reason","Already proved/closed; no worker needed now"
"E-B-MONEY-CLEARANCE","MGR_E_B_MONEY_DEPENDENCY_CLEARANCE_V1.md","E","dependency_gap","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"E-CONFIDENCE-AND-ROI","MGR_E_repair_e_b_money_truth_dependency.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"E-MISSING-ROI-REASONS","MGR_E_MISSING_ROI_REASON_OUTPUT_V1.md","E","build_gap","proved","0","parked with reason","Already proved/closed; no worker needed now"
"E-RESTOCK-INTEL-WATCH","MGR_E_RESTOCK_INTELLIGENCE_WATCH_V1.md","E","manager_monitoring","proved","0","parked with reason","Already proved/closed; no worker needed now"
"E-RESTOCK-READY-MODEL","MGR_E_RESTOCK_READY_INPUT_MODEL_V1.md","E","build_gap","proved","0","parked with reason","Already proved/closed; no worker needed now"
"F-BBP-IFRAME-STALL","MGR_F_BBP_IFRAME_PROGRESS_STALL_V1.md","F","bounded_f_worker_repair","proved","0","parked with reason","Already proved/closed; no worker needed now"
"F-BBP-LOGIN-RECOVERY","MGR_F_repair_F_REPAIR_PACKAGE_F_BBP_LOGIN_RECOVERY_20260601.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"F-EXPECTATION-AND-FRONT","MGR_F_EXPECTATION_AND_FRONT_DOOR_ALIGNMENT_V1.md","F","manager_visibility_gap","proved","0","parked with reason","Already proved/closed; no worker needed now"
"F-LOGIN-CONTROLLER-REWRITE","MGR_F_LOGIN_CONTROLLER_REWRITE_V1.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"F-LOGIN-COOLDOWN-SWITCH","MGR_F_LOGIN_ATTEMPT_COOLDOWN_SWITCH_V1.md","F","manual_approved_task","proved","0","parked with reason","Already proved/closed; no worker needed now"
"F-RESCAN-PRIORITY","MGR_F_RESCAN_PRIORITY_FIX_V1.md","F","bounded_f_worker_repair","proved","0","parked with reason","Already proved/closed; no worker needed now"
"F-RESCAN-PRIORITY-02","MOT_F_F_RESCAN_PRIORITY_PROOF.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"F-SELLER-CENTRAL-MFA-COOLDOWN-GUARDS","MGR_F_SELLER_CENTRAL_MFA_COOLDOWN_GUARDS.md","F","bounded_code_repair","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"F-SELLER-CENTRAL-MFA-COOLDOWN-REVIEW","MGR_F_SELLER_CENTRAL_MFA_COOLDOWN_REVIEW.md","F","reviewer_packet","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"F-SINGLE-LOGIN-SYSTEM-REBUILD","MGR_F_SINGLE_LOGIN_SYSTEM_REBUILD.md","F","urgent_code_rebuild","proved","0","parked with reason","Already proved/closed; no worker needed now"
"F-SOURCE-REFRESH-2026","MGR_F_repair_f_source_proof_refresh.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"F-SUPERVISOR-PROGRESS","MGR_F_SUPERVISOR_PROGRESS_TRUTH_V1.md","F","bounded_f_manager_repair","proved","0","parked with reason","Already proved/closed; no worker needed now"
"H-ACTIVE-FAILURES-2026","MGR_H_repair_h_ceiling_events_required_fields_non_blank.md","","","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"H-ACTIVE-GROUP-OUT","MGR_H_repair_out_cycle_alerts_checkli.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"H-CLASSIFICATION-ONLY-2026","MGR_H_repair_h_health_snapshot_as_clue.md","","","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"H-CLASSIFY-ACTIVE-GROUP","MGR_H_classification_out_systems_M_hourly_mot.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"H-DEFENSIVE-LISTING-PROTECTION","MOT_H_H_DEFENSIVE_LISTING_PROTECTION_MODE.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"H-DEFENSIVE-LISTING-STAND","MGR_H_repair_h_defensive_listing_stand_down_guard.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"H-DEFENSIVE-LISTING-VISIBILITY","MGR_H_repair_h_defensive_listing_mot_proof_visibility.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"H-DEFENSIVE-NO-DAILY-CAP","MGR_H_DEFENSIVE_LISTING_REMOVE_DAILY_WRITE_CAP_V1.md","H","bounded_code_repair","proved","0","parked with reason","Already proved/closed; no worker needed now"
"H-DEFENSIVE-SINGLE-STRATEGY","MGR_H_DEFENSIVE_LISTING_SINGLE_STRATEGY_OWNERSHIP_V1.md","H","bounded_code_repair","proved","0","parked with reason","Already proved/closed; no worker needed now"
"H-INDEPENDENT-FAILURES-2026","MGR_H_repair_h_market_context_proof.md","","","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"H-INDEPENDENT-FAILURES-2026-02","MGR_H_repair_h_latest_manifest_state.md","","","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"H-OUT-CYCLE-ALERTS","MGR_H_repair_h_strategy_outcome_daily_count_integrity.md","","","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"H-OUT-SYSTEMS-HOURLY","MGR_H_repair_H_REPAIR_PACKAGE_MGR_B_repair_out_systems_M_hourly_mot_20260527_sellerboard_bridge.md","","","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"H-RELIABILITY-WINDOW","MGR_H_RELIABILITY_WINDOW_PROOF_V1.md","H","bounded_manager_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"H-REPEATED-BOUNDARY-FINALIZER","MGR_H_repair_h_boundary_finalizer_truth.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"H-STAGED-RETENTION-POLICY","MGR_H_repair_h_staged_retention_policy_alignment.md","","","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"H-STORAGE-CLEANUP-SAFETY","MGR_H_repair_h_storage_cleanup_safety.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"H-TOKEN-FLOOR-SOURCE","MOT_H_H_TOKEN_FLOOR_SOURCE_GUARD.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"H-TOKEN-FLOOR-SOURCE-GUARD","MGR_H_TOKEN_FLOOR_SOURCE_GUARD_V1.md","H","manager_read_only_guard","proved","0","parked with reason","Already proved/closed; no worker needed now"
"H-TRANSIENT-TOKEN-NETWORK","MGR_H_repair_h_transient_token_network_boundary.md","","","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-APPROVAL-GUARDRAILS-CREATED","MGR_O_APPROVAL_DECISION_GUARDRAILS_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-E-ROI-HANDOFF","MGR_O_E_ROI_REASON_HANDOFF_V1.md","O","bounded_o_handoff","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-EXPECTED-PROFIT-INPUT","MGR_O_EXPECTED_PROFIT_INPUT_CONFIDENCE_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-INBOUND-FBA-COST-PROOF","MGR_O_INBOUND_FBA_COST_ALLOCATION_PROOF_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-INBOUND-FBA-SOURCE-LINK","MGR_O_INBOUND_FBA_SOURCE_LINK_INVESTIGATION_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-INBOUND-FBA-SOURCE-OPTIONS","MGR_O_INBOUND_FBA_SOURCE_OPTIONS_REVIEW_V1.md","O","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-PACK-MOQ-AND","MGR_O_PACK_MOQ_PROOF_AND_BATCH_READINESS_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-PO-DRAFT-EXPORT","MGR_O_PO_DRAFT_EXPORT_GATE_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-PO-DRAFT-EXPORT-02","MGR_O_PO_DRAFT_EXPORT_PREVIEW_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-PO-DRAFT-HOLD","MGR_O_PO_DRAFT_HOLD_REVIEW_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-PO-DRAFT-PACKET","MGR_O_PO_DRAFT_PACKET_REVIEW_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-PO-DRAFT-READINESS","MGR_O_PO_DRAFT_READINESS_PREVIEW_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-PO-DRAFT-REVIEW","MGR_O_PO_DRAFT_REVIEW_CONTROLS_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-PO-FILE-SHAPE","MGR_O_PO_FILE_SHAPE_AND_CONSTRUCTION_SUMMARY_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-PO-LINE-DESIGN","MGR_O_PO_LINE_DESIGN_PREVIEW_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-PROFIT-INPUT-BLOCKERS","MGR_O_PROFIT_INPUT_BLOCKER_BREAKDOWN_V1.md","O","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-PROOF-FILE-FRESHNESS","MGR_O_ACTIVE_PROOF_FILE_FRESHNESS_REVIEW_V1.md","O","manager_read_only_proof","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-PURCHASE-APPROVAL-PREVIEW","MGR_O_PURCHASE_APPROVAL_PREVIEW_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-REAL-PO-GATE","MGR_O_REAL_PO_GATE_CLEARANCE_FILTER_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-REAL-PO-GATE-02","MGR_O_REAL_PO_GATE_CLEARANCE_WORKLIST_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-REAL-PO-READINESS","MGR_O_REAL_PO_READINESS_GATE_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-APPROVAL-PREVIEW","MGR_O_RESTOCK_APPROVAL_PREVIEW_STATUS_FILTER_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-APPROVAL-PREVIEW-02","MGR_O_RESTOCK_APPROVAL_PREVIEW_VISIBILITY_BUNDLE_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-APPROVAL-READINESS","MGR_O_RESTOCK_APPROVAL_READINESS_FILTER_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-APPROVAL-READINESS-02","MGR_O_RESTOCK_APPROVAL_READINESS_LANE_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-CARD-HISTORY","MGR_O_RESTOCK_CARD_PROOF_HISTORY_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-CARD-LOCAL","MGR_O_RESTOCK_CARD_LOCAL_CONTROLS_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-CARD-MISSING","MGR_O_RESTOCK_CARD_MISSING_PROOF_CHECKLIST_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-CARD-NEXT","MGR_O_RESTOCK_CARD_NEXT_ACTION_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-MISSING-FILTER","MGR_O_RESTOCK_MISSING_PROOF_WORKLIST_FILTER_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-NEXT-HINT","MGR_O_RESTOCK_NEXT_PROOF_HINT_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-PO-PREVIEW","MGR_O_RESTOCK_PO_PREVIEW_VISIBILITY_BUNDLE_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-ROW-POSITION","MGR_O_RESTOCK_ROW_POSITION_MARKER_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-ROW-PRIORITY","MGR_O_RESTOCK_ROW_PRIORITY_SORTING_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-ROW-SAFE","MGR_O_RESTOCK_ROW_SAFE_SAVE_GUIDANCE_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-SELECTED-ROW","MGR_O_RESTOCK_SELECTED_ROW_PROOF_DRAWER_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-SESSION-DRAFT","MGR_O_RESTOCK_SESSION_DRAFT_DECISIONS_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-SESSION-LOCAL","MGR_O_RESTOCK_SESSION_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-SESSION-PROGRESS","MGR_O_RESTOCK_SESSION_PROGRESS_STRIP_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-STAGE-VISIBILITY","MGR_O_RESTOCK_PROTECTED_STAGE_VISIBILITY_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-SUPPLIER-ACTION","MGR_O_RESTOCK_SUPPLIER_ACTION_BUCKETS_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-SUPPLIER-ACTION-02","MGR_O_RESTOCK_SUPPLIER_ACTION_BUCKET_FILTER_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-SUPPLIER-BATCH","MGR_O_RESTOCK_SUPPLIER_BATCH_DRAFTS_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-SUPPLIER-INFO","MGR_O_RESTOCK_SUPPLIER_INFO_NEEDED_PANEL_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-RESTOCK-SUPPLIER-READINESS","MGR_O_RESTOCK_SUPPLIER_READINESS_SUMMARY_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-SUPPLIER-BATCH-CHECKLIST","MGR_O_SUPPLIER_BATCH_PROOF_CHECKLIST_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-SUPPLIER-CAPTURE-CREATED","MGR_O_SUPPLIER_PROOF_CAPTURE_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-SUPPLIER-FILE-COVERAGE","MGR_O_SUPPLIER_FILE_PROOF_COVERAGE_MAP_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-SUPPLIER-FILE-EVIDENCE","MGR_O_SUPPLIER_FILE_EVIDENCE_VISIBILITY_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-SUPPLIER-FILE-PRESENCE","MGR_O_SUPPLIER_FILE_PRESENCE_PROBE_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-SUPPLIER-FILE-RESULT","MGR_O_SUPPLIER_FILE_RESULT_CARDS_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-SUPPLIER-FILE-SOURCE","MGR_O_SUPPLIER_FILE_SOURCE_INDEX_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-SUPPLIER-GATE-CLEARANCE","MGR_O_SUPPLIER_GATE_CLEARANCE_PANEL_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-SUPPLIER-QUEUE-AND","MGR_O_SUPPLIER_PROOF_WORK_QUEUE_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-SUPPLIER-QUEUE-FILTER","MGR_O_SUPPLIER_PROOF_QUEUE_FILTER_V1.md","O","bounded_o_construction","proved","0","parked with reason","Already proved/closed; no worker needed now"
"O-TOKEN-COST-TRUST-GATE","MGR_O_TOKEN_COST_TRUST_GATE_V1.md","O","manager_read_only_guard","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-ACTIVE-SYSTEM-SERVICE-MOT","MGR_SO21_ACTIVE_SYSTEM_SERVICE_MOT.md","SO21","management_system_review","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-BUSINESS-RUNTIME-MAINTENANCE-AUTHORITY","MGR_SO21_BUSINESS_RUNTIME_MAINTENANCE_AUTHORITY.md","SO21","protected_decision","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-CONTROL-DESK-MAINTENANCE-SWITCH-DESIGN","MGR_SO21_CONTROL_DESK_MAINTENANCE_SWITCH_DESIGN.md","SO21","maintenance_mode_design","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-CREDENTIAL-TOKEN-STATUS-CHECK","MGR_SO21_CREDENTIAL_TOKEN_STATUS_CHECK.md","SO21","credential_validation","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-DATA-CLEANUP-AUTOMATION-DESIGN","MGR_SO21_DATA_CLEANUP_AUTOMATION_DESIGN.md","SO21","custodian_automation_design","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-DATA-FAMILY-INVENTORY","MGR_SO21_DATA_FAMILY_INVENTORY.md","SO21","custodian_inventory","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-DATA-LIFECYCLE-AND-DEDUP-PLAN","MGR_SO21_DATA_LIFECYCLE_AND_DEDUP_PLAN.md","SO21","custodian_data_lifecycle_planning","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-DUPLICATE-DATA-REPORT","MGR_SO21_DUPLICATE_DATA_REPORT.md","SO21","custodian_duplicate_report","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-EXECUTION-SEQUENCING-CONTROL","MGR_SO21_EXECUTION_SEQUENCING_CONTROL.md","SO21","control_planning","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-H-STAGED-RETENTION-DRY-RUN-DESIGN","MGR_SO21_H_STAGED_RETENTION_DRY_RUN_DESIGN.md","SO21","custodian_storage_design","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-LEGACY-CONTROL-APPLY-PLAN","MGR_SO21_LEGACY_CONTROL_APPLY_PLAN.md","SO21","cleanup_apply_planning","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-LEGACY-CONTROL-RETIREMENT-REVIEW","MGR_SO21_LEGACY_CONTROL_RETIREMENT_REVIEW.md","SO21","reviewer_packet","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"SO21-MAINTENANCE-RECORD-SPEC","MGR_SO21_MAINTENANCE_RECORD_SPEC.md","SO21","maintenance_mode_design","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-MAINTENANCE-SCRIPT-QUALITY-REVIEW","MGR_SO21_MAINTENANCE_SCRIPT_QUALITY_REVIEW.md","SO21","review_planning","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-NEW-STYLE-SCRIPT-MONITORING-DESIGN","MGR_SO21_NEW_STYLE_SCRIPT_MONITORING_DESIGN.md","SO21","monitoring_design","parked","0","parked with reason","Parked until predecessor, proof, or timing condition exists"
"SO21-OUTPUT-RETENTION-RULES","MGR_SO21_OUTPUT_RETENTION_RULES.md","SO21","custodian_retention_rules","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-OVERNIGHT-CONTROL-TEST-PLAN","MGR_SO21_OVERNIGHT_CONTROL_TEST_PLAN.md","SO21","overnight_control_test_plan","proved","0","parked with reason","Already proved/closed; no worker needed now"
"SO21-PROFESSIONAL-GRADE-FINALISATION","MGR_SO21_PROFESSIONAL_GRADE_FINALISATION.md","SO21","management_system_finalisation","proved","0","parked with reason","Already proved/closed; no worker needed now"
