dataset_id,dataset_name,dataset_family,owner_cycle,canonical_path,allowed_mirror_paths,writer_scripts,consumer_scripts,dataset_type,update_frequency,decision_importance_0_10,freshness_score_0_10,reliability_score_0_10,completeness_score_0_10,overall_data_performance_score_0_10,status,schema_ref,notes,last_scored_utc
H.LISTING_OFFER_HISTORY,Market Listing Offer History,Market_Intel,H,out/systems/H/live/listing_offer_history.csv,out/listing_offer_history.csv,run_api_collection.py|scripts/flows/H/H004_build_daily_market_snapshot.py,scripts/flows/H/H002_build_phase1_seller_history.py|scripts/flows/H/H004_build_daily_market_snapshot.py|scripts/flows/E/E004_build_performance_summary.py|scripts/flows/A/A015_build_system_health_check.py,event_log,continuous,8,8,6,7,7.10,Baselining,header:timestamp_utc|sku|asin|our_price|buy_box_price,Canonical is H live path with approved legacy mirror during compat phase,2026-03-16T00:00:00Z
E.SKU_PERFORMANCE_SUMMARY,SKU Performance Summary,Analytics,E,out/sku_performance_summary.csv,,scripts/flows/E/E004_build_performance_summary.py,scripts/flows/E/E005_build_study_report.py|scripts/flows/E/E010_publish_e_outputs.py|scripts/flows/H/H003_build_hos_guidelines_snapshot.py|scripts/flows/H/H004_build_daily_market_snapshot.py,analytics_output,daily,8,7,7,7,7.20,Baselining,header:sku|velocity_30d|roi_exvat_30d|reorder_flag,Primary merged analytics table for decision support and reporting,2026-03-16T00:00:00Z
SYS.SYSTEM_HEALTH_CHECKLIST,System Health Checklist,Health_Governance,System,out/system_health_checklist.csv,,scripts/flows/A/A015_build_system_health_check.py,scripts/cycles/run_A_all.py|scripts/cycles/run_B_cycle.py|scripts/cycles/run_E_cycle.py|scripts/cycles/run_H_pricing_cycle.py|scripts/tools/controlled_restart_gate.py,health_signal,daily,10,8,5,8,7.35,Baselining,header:check|status|value|notes|alert_first_seen_utc,Current snapshot includes 5 WARN checks; baseline kept conservative,2026-03-16T00:00:00Z
B.CHECKLIST_B,Checklist B Split Health,Health_Governance,B,out/cycle_alerts/checklist_B.csv,,scripts/flows/A/A015_build_system_health_check.py|scripts/cycles/run_B_cycle.py,scripts/cycles/run_B_cycle.py|scripts/tools/controlled_restart_gate.py,health_signal,per_cycle_run,9,9,7,8,8.10,Baselining,header:check|status|value|notes,B-scoped health signal used for B gate and restart safety decisions,2026-03-16T00:00:00Z
A.MANIFEST_FAMILY,Manifest Family A,Health_Governance,A,out/manifests/A/*,,scripts/cycles/run_A_all.py|scripts/core/run_manifest.py,scripts/flows/A/A015_build_system_health_check.py|operator_audits|reliability_review,manifest,per_cycle_run,9,8,7,8,7.85,Baselining,json:run_id|cycle|steps|health_summary|final_state,Cycle execution truth for A run evidence,2026-03-16T00:00:00Z
B.MANIFEST_FAMILY,Manifest Family B,Health_Governance,B,out/manifests/B/*,,scripts/cycles/run_B_cycle.py|scripts/core/run_manifest.py,operator_audits|reliability_review|cycle_diagnostics,manifest,per_cycle_run,9,9,6,7,7.55,Baselining,json:run_id|cycle|steps|health_summary|final_state,Some recent manifests show final_state mismatch patterns; reliability conservative,2026-03-16T00:00:00Z
E.MANIFEST_FAMILY,Manifest Family E,Health_Governance,E,out/manifests/E/*,,scripts/cycles/run_E_cycle.py|scripts/core/run_manifest.py,operator_audits|reliability_review|cycle_diagnostics,manifest,per_cycle_run,8,7,5,6,6.30,Baselining,json:run_id|cycle|steps|health_summary|final_state,Recent E manifest evidence includes incomplete split-health artifact path,2026-03-16T00:00:00Z
H.MANIFEST_FAMILY,Manifest Family H,Health_Governance,H,out/manifests/H/*,,scripts/cycles/run_H_pricing_cycle.py|scripts/core/run_manifest.py,scripts/cycles/run_H_cycle.bat|operator_audits|reliability_review,manifest,per_cycle_run,9,8,6,7,7.55,Baselining,json:run_id|cycle|steps|health_summary|final_state,High-value runtime evidence family for H stabilization tracking,2026-03-16T00:00:00Z
SYS.INBOUND_SHIPMENT_CONTENTS,Inbound Shipment Contents,Inbound_Logistics,System,out/inbound_shipment_contents.csv,,scripts/flows/B/B030_run_inbound_shipment_contents_report.py|scripts/flows/B/B031_run_inbound_shipment_items.py|scripts/flows/C/C009_run_inbound_shipment_contents.py,scripts/flows/C/C001_build_inbound_delivery_status.py|scripts/flows/C/C002_build_inbound_missing_units.py|scripts/flows/C/C006_build_token_maturity_window.py|scripts/flows/D/D004_allocate_transaction_expenses.py,snapshot,event_based,8,,,,,Unscored,header:inbound_shipment_id|sku|quantity,Canonical writer: scripts/flows/B/B031_run_inbound_shipment_items.py; C009 retained as legacy compatibility writer.,
B.PHASE1_SKU_SCOPE,Phase1 SKU Scope,Repricing_Intelligence,B,out/phase1_sku_scope.csv,,scripts/phase1/phase1_sku_scope.py,scripts/flows/H/H110_run_phase1_h_pilot.py|scripts/flows/H/H130_build_phase1_observation_sheet.py|scripts/flows/A/A018_build_phase1_floor_table.py|scripts/tools/diff_active_vs_scope.py,analytics_output,per_cycle_run,9,7,6,7,7.05,Baselining,header:sku|asin|repricing_enabled|write_effective,Canonical writer: scripts/phase1/phase1_sku_scope.py; other callers must invoke canonical builder only.,2026-03-16T00:00:00Z
H.LISTING_OFFER_SNAPSHOT_LATEST,Listing Offer Snapshot Latest,Market_Intel,H,out/listing_offer_snapshot_latest.csv,,run_api_collection.py|scripts/flows/H/H001_capture_offer_snapshot.py,scripts/flows/H/H003_build_hos_guidelines_snapshot.py|scripts/flows/H/H004_build_daily_market_snapshot.py|scripts/flows/H/H110_run_phase1_h_pilot.py|scripts/flows/A/A018_build_phase1_floor_table.py,snapshot,per_cycle_run,8,8,6,6,6.90,Baselining,header:snapshot_utc|sku|asin|price_fields,Latest offer snapshot is high impact for H decisions,2026-03-16T00:00:00Z
H.LISTING_OFFER_SELLER_SNAPSHOT_LATEST,Listing Offer Seller Snapshot Latest,Market_Intel,H,out/listing_offer_seller_snapshot_latest.csv,,run_api_collection.py|scripts/flows/H/H001_capture_offer_snapshot.py,scripts/flows/H/H004_build_daily_market_snapshot.py|scripts/flows/H/H110_run_phase1_h_pilot.py,snapshot,per_cycle_run,8,8,6,6,6.90,Baselining,header:snapshot_utc|sku|asin|seller_fields,Latest seller snapshot is critical for competitor context in H,2026-03-16T00:00:00Z
B.ORDER_COGS_FROM_TOKENS,Order COGS From Tokens,Finance,B,out/order_cogs_from_tokens.csv,,scripts/flows/B/B010_build_token_ops_outputs.py,scripts/flows/D/D001_build_pnl_daily.py|scripts/flows/D/D010_build_pnl_day_breakdown.py|scripts/flows/B/B021_build_token_proof_pack.py,analytics_output,continuous,9,7,6,7,7.05,Baselining,header:order_id|seller_sku|cogs_fields,Bridge dataset from token costs into finance reports,2026-03-16T00:00:00Z
B.FINANCIAL_EVENTS_LEVEL3_OFFICIAL,Financial Events Level3 Official,Finance,B,out/financial_events_level3_official.csv,,scripts/flows/B/B003_run_financial_events_level3.py,scripts/flows/B/B002_run_pending_orders_to_sheet.py|scripts/flows/B/B004_build_order_master.py|scripts/flows/D/D001_build_pnl_daily.py|scripts/flows/D/D012_build_fee_vat_ledger.py,master_table,continuous,9,7,6,7,7.05,Baselining,header:order_id|transaction_type|amount_fields,Primary official level3 financial events table for downstream finance,2026-03-16T00:00:00Z
B.ORDERS_RAW,Orders Raw Snapshot,Finance,B,out/orders_raw.csv,,scripts/flows/B/B001_run_orders_to_sheet.py,scripts/one_off/T022_B004_build_order_audit.py|scripts/one_off/T021_B003_estimate_financials_csv.py,source_snapshot,per_cycle_run,7,7,6,7,6.80,Baselining,header:amazon_order_id|purchase_date|order_status,Latest B001 order snapshot mirrored to SQL with CSV export,2026-04-29T00:00:00Z
B.ORDER_ITEMS_RAW,Order Items Raw Snapshot,Finance,B,out/order_items_raw.csv,,scripts/flows/B/B001_run_orders_to_sheet.py,scripts/one_off/T022_B004_build_order_audit.py|scripts/one_off/T021_B003_estimate_financials_csv.py,source_snapshot,per_cycle_run,7,7,6,7,6.80,Baselining,header:amazon_order_id|seller_sku|quantity_ordered,Latest B001 item snapshot mirrored to SQL with CSV export,2026-04-29T00:00:00Z
B.ORDERS_PULLED_LAST_RUN,Orders Pulled Last Run,Finance,B,out/orders_pulled_last_run.csv,,scripts/flows/B/B001_run_orders_to_sheet.py,scripts/flows/B/B001_run_orders_to_sheet.py,run_snapshot,per_cycle_run,6,7,6,7,6.70,Baselining,header:amazon_order_id|purchase_date|last_update_date|order_status,B001 last-pull audit snapshot mirrored to SQL,2026-04-29T00:00:00Z
B.FINANCIAL_EVENTS_LEVEL1,Financial Events Level1 Immediate,Finance,B,out/financial_events_level1.csv,,scripts/flows/B/B001_run_orders_to_sheet.py|scripts/flows/B/B007_allocate_tokens_live.py,scripts/flows/B/B004_build_order_master.py|scripts/flows/A/A015_build_system_health_check.py,master_table,continuous,8,7,6,7,7.00,Baselining,header:Date|Order ID|SKU|Price_Total,Immediate order finance layer mirrored to SQL with CSV export,2026-04-29T00:00:00Z
B.FINANCIAL_EVENTS_LEVEL2,Financial Events Level2 Official,Finance,B,out/financial_events_level2.csv,,scripts/flows/B/B002_run_pending_orders_to_sheet.py,scripts/flows/B/B003_run_financial_events_level3.py|scripts/flows/B/B004_build_order_master.py|scripts/flows/E/E006_build_sales_truth_reconciliation.py|scripts/flows/E/E007_build_sku_daily_sales_truth.py,master_table,continuous,9,7,6,7,7.05,Baselining,header:Date|Order ID|SKU|Price_Total,Official item finance layer mirrored to SQL with CSV export,2026-04-29T00:00:00Z
B.FINANCIAL_EVENTS_LEVEL3_RAW,Financial Events Level3 Raw,Finance,B,out/financial_events_level3_raw.csv,,scripts/flows/B/B003_run_financial_events_level3.py,scripts/flows/B/B003_run_financial_events_level3.py,event_ledger,continuous,8,7,6,7,6.95,Baselining,header:order_id|sku|posted_date|amount_type,Raw posted financial event ledger mirrored to SQL,2026-04-29T00:00:00Z
B.FINANCIAL_EVENTS_LEVEL3_RAW_DEDUP,Financial Events Level3 Raw Dedup,Finance,B,out/financial_events_level3_raw_dedup.csv,,scripts/flows/B/B003_run_financial_events_level3.py,finance_diagnostics,event_ledger,per_cycle_run,7,7,6,7,6.80,Baselining,header:order_id|sku|posted_date|amount_type,Deduplicated Level3 raw view mirrored to SQL,2026-04-29T00:00:00Z
B.FINANCIAL_EVENTS_LEVEL3_SUMMARY,Financial Events Level3 Summary,Finance,B,out/financial_events_level3_summary.csv,,scripts/flows/B/B003_run_financial_events_level3.py,finance_diagnostics,analytics_output,per_cycle_run,7,7,6,7,6.80,Baselining,header:order_id|sku|amount_type|amount,Level3 summary output mirrored to SQL,2026-04-29T00:00:00Z
B.FINANCIAL_EVENTS_ACCOUNT_LEDGER,Financial Events Account Ledger,Finance,B,out/financial_events_account_ledger.csv,,scripts/flows/B/B003_run_financial_events_level3.py,scripts/flows/B/B003_run_financial_events_level3.py,event_ledger,continuous,8,7,6,7,6.95,Baselining,header:posted_date|transaction_type|amount_type|amount,Account-level financial event ledger mirrored to SQL,2026-04-29T00:00:00Z
B.FINANCIAL_EVENTS_REFUNDS,Financial Events Refunds,Finance,B,out/financial_events_refunds.csv,,scripts/flows/B/B003_run_financial_events_level3.py,finance_diagnostics,event_ledger,per_cycle_run,7,7,6,7,6.80,Baselining,header:order_id|sku|posted_date|amount_type,Refund raw view mirrored to SQL,2026-04-29T00:00:00Z
B.FINANCIAL_EVENTS_REFUNDS_OFFICIAL,Financial Events Refunds Official,Finance,B,out/financial_events_refunds_official.csv,,scripts/flows/B/B003_run_financial_events_level3.py,scripts/flows/B/B024_build_tokens_november_anchor.py|scripts/flows/D/D001_build_pnl_daily.py,master_table,continuous,8,7,6,7,6.95,Baselining,header:Date|Order ID|SKU|Price_Total,Official refund finance layer mirrored to SQL,2026-04-29T00:00:00Z
B.FINANCIAL_EVENTS_SHIPMENTS,Financial Events Shipments,Finance,B,out/financial_events_shipments.csv,,scripts/flows/B/B003_run_financial_events_level3.py,finance_diagnostics,event_ledger,per_cycle_run,7,7,6,7,6.80,Baselining,header:posted_date|transaction_type|amount_type|amount,Inbound shipment fee view mirrored to SQL,2026-04-29T00:00:00Z
B.FINANCIAL_EVENTS_INBOUND_SUMMARY,Financial Events Inbound Summary,Finance,B,out/financial_events_inbound_summary.csv,,scripts/flows/B/B003_run_financial_events_level3.py,finance_diagnostics,analytics_output,per_cycle_run,7,7,6,7,6.80,Baselining,header:date|amount_type|currency|total_amount,Inbound fee summary mirrored to SQL,2026-04-29T00:00:00Z
B.FINANCIAL_EVENTS_STORAGE,Financial Events Storage,Finance,B,out/financial_events_storage.csv,,scripts/flows/B/B003_run_financial_events_level3.py,finance_diagnostics,event_ledger,per_cycle_run,7,7,6,7,6.80,Baselining,header:posted_date|amount_type|amount|currency,Storage fee view mirrored to SQL,2026-04-29T00:00:00Z
B.FINANCIAL_EVENTS_STORAGE_SUMMARY,Financial Events Storage Summary,Finance,B,out/financial_events_storage_summary.csv,,scripts/flows/B/B003_run_financial_events_level3.py,finance_diagnostics,analytics_output,per_cycle_run,7,7,6,7,6.80,Baselining,header:date|amount_type|currency|total_amount,Storage fee summary mirrored to SQL,2026-04-29T00:00:00Z
B.FINANCIAL_EVENTS_ACCOUNT_SUMMARY,Financial Events Account Summary,Finance,B,out/financial_events_account_summary.csv,,scripts/flows/B/B003_run_financial_events_level3.py,finance_diagnostics,analytics_output,per_cycle_run,7,7,6,7,6.80,Baselining,header:date|transaction_type|amount_type|currency|total_amount,Account event summary mirrored to SQL,2026-04-29T00:00:00Z
B.L2_VS_L3_DISCREPANCIES,L2 vs L3 Discrepancies,Finance,B,out/l2_vs_l3_discrepancies.csv,,scripts/flows/B/B003_run_financial_events_level3.py,finance_diagnostics,health_signal,per_cycle_run,7,7,6,7,6.80,Baselining,header:Order ID|SKU|field|delta,L2 to L3 comparison signal mirrored to SQL,2026-04-29T00:00:00Z
B.VAT_COUNTRY_MODEL,VAT Country Model,Finance,B,out/vat_country_model.csv,,scripts/flows/B/B003_run_financial_events_level3.py,scripts/flows/B/B001_run_orders_to_sheet.py,reference_model,per_cycle_run,7,7,6,7,6.80,Baselining,header:country_code|marketplace_id|avg_vat_rate,Derived VAT model mirrored to SQL,2026-04-29T00:00:00Z
B.FEE_COUNTRY_MODEL,Fee Country Model,Finance,B,out/fee_country_model.csv,,scripts/flows/B/B003_run_financial_events_level3.py,scripts/flows/B/B001_run_orders_to_sheet.py|scripts/flows/B/B002_run_pending_orders_to_sheet.py,reference_model,per_cycle_run,7,7,6,7,6.80,Baselining,header:country_code|fee_type|avg_rate,Derived fee model mirrored to SQL,2026-04-29T00:00:00Z
B.ORDERS_SHEET_ORDERS,Orders Sheet Orders,Finance,B,out/orders_sheet_orders.csv,,external_orders_sheet_export,scripts/flows/B/B004_build_order_master.py|scripts/flows/B/B024_build_tokens_november_anchor.py|scripts/flows/B/B032_update_token_lot_rank_from_orders_sheet.py,source_snapshot,manual_refresh,8,6,6,7,6.75,Baselining,header:SKU|Cost PU|Order Date|Ordered|Sent to FBA,Purchase order source snapshot seeded to SQL and kept as CSV export,2026-04-29T00:00:00Z
B.FX_RATES_DAILY,FX Rates Daily,Finance,B,out/fx_rates_daily.csv,,scripts/flows/B/B002_run_pending_orders_to_sheet.py|scripts/flows/B/B006_build_fx_ledgers.py,scripts/flows/B/B001_run_orders_to_sheet.py|scripts/flows/B/B006_build_fx_ledgers.py|scripts/flows/E/E002_build_roi_snapshot.py|scripts/flows/D/D001_build_pnl_daily.py,snapshot,continuous,8,7,6,7,6.85,Baselining,header:date|from_currency|to_currency|rate,Canonical writer: scripts/flows/B/B006_build_fx_ledgers.py; B002 is approved for read/cache behavior only.,2026-03-16T00:00:00Z
SYS.PRODUCT_DB_PREVIEW,Product DB Preview,Inventory,System,out/product_db_preview.csv,,scripts/flows/A/A001_run_listings_to_sheet.py|scripts/flows/A/A002_run_catalog_items_to_sheet.py|scripts/flows/A/A003_run_inventory_to_sheet.py|scripts/flows/A/A004_run_fees_to_sheet.py|scripts/flows/B/B001_run_orders_to_sheet.py|scripts/flows/B/B002_run_pending_orders_to_sheet.py|scripts/flows/B/B003_run_financial_events_level3.py,scripts/h/h_floor_truth.py|scripts/flows/H/H110_run_phase1_h_pilot.py|scripts/flows/B/B007_allocate_tokens_live.py|scripts/flows/D/D001_build_pnl_daily.py|scripts/flows/D/D015_enrich_fee_detail_ledger.py,snapshot,continuous,8,6,5,6,6.05,Baselining,header:seller_sku|asin|fee_fields|stock_fields,System-owned for now; canonical writer authority source remains under review across A/B writers.,2026-03-16T00:00:00Z
A.INVENTORY_SNAPSHOT_LATEST,Inventory Snapshot Latest,Inventory,A,out/inventory_snapshot_latest.csv,,scripts/flows/A/A003_run_inventory_to_sheet.py,scripts/flows/A/A015_build_system_health_check.py|scripts/flows/H/H110_run_phase1_h_pilot.py|scripts/flows/A/A016_refresh_phase1_daily_intel.py,snapshot,daily,9,7,6,7,7.05,Baselining,header:asin|seller_sku|stock_fields,Daily inventory snapshot used for health and repricing eligibility,2026-03-16T00:00:00Z
H.H_RUNTIME_STATUS,H Runtime Status,Runtime_Control,H,out/systems/H/live/H_runtime_status.json,,scripts/cycles/run_H_pricing_cycle.py|scripts/cycles/run_H_pricing_cycle_guarded.py,scripts/tools/home_time_monitor.py|scripts/tools/controlled_restart_gate.py|scripts/cycles/run_H_cycle.bat,runtime_marker,continuous,9,8,6,7,7.30,Baselining,json:utc|run_id|mode|stage|error,Runtime Control policy: Non-Scored Governance Signal; monitor presence/freshness SLA for diagnostics.,2026-03-16T00:00:00Z
H.H_LAUNCHER_LOCK,H Launcher Lock,Runtime_Control,H,out/systems/H/live/H_launcher.lock,,run_H_cycle.bat,scripts/cycles/run_H_cycle.bat|scripts/tools/controlled_restart_gate.py|scripts/tools/home_time_monitor.py,runtime_marker,continuous,8,8,6,7,7.10,Baselining,text:launcher_pid|utc,Runtime Control policy: Non-Scored Governance Signal; monitor presence/freshness SLA for diagnostics.,2026-03-16T00:00:00Z
B.B_CYCLE_LOCK,B Cycle Lock,Runtime_Control,B,out/systems/B/live/B_cycle.lock,,run_B_cycle.bat|scripts/cycles/run_B_cycle.py,scripts/cycles/run_B_cycle.py|scripts/tools/controlled_restart_gate.py|scripts/cycles/run_A_all.py,runtime_marker,continuous,8,8,7,7,7.45,Baselining,text:pid|start|heartbeat,Runtime Control policy: Non-Scored Governance Signal; monitor presence/freshness SLA for diagnostics.,2026-03-16T00:00:00Z
SYS.RESTART_CONTROLLER_LATEST,Restart Controller Latest,Runtime_Control,System,out/locks/restart_control/restart_controller.latest.json,,scripts/tools/controlled_restart_controller.py|run_controlled_restart_controller.bat|run_controlled_restart_postcheck.bat,scripts/tools/controlled_restart_controller.py|scripts/tools/controlled_restart_gate.py|operator_review,runtime_marker,event_based,8,7,6,6,6.65,Baselining,json:run_id|decision|outcome|final_blockers,Runtime Control policy: Non-Scored Governance Signal; monitor presence/freshness SLA for diagnostics.,2026-03-16T00:00:00Z
A.INVENTORY_HISTORY,Inventory History,Inventory,A,out/inventory_history.csv,,run_api_collection.py,scripts/cycles/run_H_pricing_cycle.py|scripts/cycles/run_E_cycle.py|scripts/flows/A/A015_build_system_health_check.py,snapshot,per_cycle_run,8,7,6,7,6.85,Baselining,header:timestamp_utc|asof_date|marketplace|sku|available|total_quantity,Canonical writer run_api_collection.py via inventory partition rewrite.,2026-03-16T00:00:00Z
A.INVENTORY_ADJUSTMENTS_LATEST,Inventory Adjustments Latest,Inventory,A,out/inventory_adjustments_latest.csv,,scripts/flows/A/A005_run_inventory_adjustments_report.py,scripts/flows/A/A006_build_stock_events_raw.py,snapshot,per_cycle_run,7,6,6,6,6.20,Baselining,header:Date|MSKU|Event Type|Reference ID|Quantity|Date and Time,Latest adjustments extract from A005 report pipeline.,2026-03-16T00:00:00Z
A.INVENTORY_LEDGER_RAW,Inventory Ledger Raw,Inventory,A,out/inventory_ledger_raw.csv,,scripts/flows/A/A005_run_inventory_adjustments_report.py,scripts/flows/A/A006_build_stock_events_raw.py|scripts/flows/C/C001_build_inbound_delivery_status.py|scripts/flows/C/C002_build_inbound_missing_units.py|scripts/flows/C/C005_allocate_inbound_costs_to_sku.py|scripts/flows/C/C009_run_inbound_shipment_contents.py|scripts/phase1/phase1_phase_engine.py,master_table,per_cycle_run,8,6,6,6,6.40,Baselining,header:Date|MSKU|Event Type|Reference ID|Quantity|Disposition,Core ledger feed used by inventory events and inbound flows.,2026-03-16T00:00:00Z
A.STOCK_EVENTS_RAW,Stock Events Raw,Inventory,A,out/stock_events_raw.csv,,scripts/flows/A/A006_build_stock_events_raw.py,scripts/flows/B/B009_apply_stock_adjustments_to_tokens.py,event_log,per_cycle_run,8,5,5,6,5.80,Baselining,header:event_id|event_date|sku|event_type|quantity|disposition,Downstream token adjustments depend on this feed; artifact currently missing in out.,2026-03-16T00:00:00Z
A.STOCK_RECEIPTS_LATEST,Stock Receipts Latest,Inventory,A,out/stock_receipts_latest.csv,,scripts/tools/process_stock_receipts_sheet.py,scripts/cycles/run_A_all.py,snapshot,event_based,6,5,6,5,5.55,Baselining,header:intake_date|seller_sku|qty|cost_per_unit|batch_id|status,Operational intake snapshot; current file may be headerless when no intake rows exist.,2026-03-16T00:00:00Z
A.FEES_LATEST,Fees Latest,Finance,A,out/fees_latest.csv,,scripts/flows/A/A004_run_fees_to_sheet.py,scripts/flows/A/A004_run_fees_to_sheet.py|scripts/cycles/run_A_all.py,snapshot,per_cycle_run,8,7,6,7,6.85,Baselining,header:seller_sku|fba_fee_10|fba_fee_100|referral_fee_10|referral_fee_100,Primary fee estimate output from A004.,2026-03-16T00:00:00Z
A.FEES_FAILED,Fees Failed,Finance,A,out/fees_failed.csv,,scripts/flows/A/A004_run_fees_to_sheet.py,scripts/flows/A/A015_build_system_health_check.py|scripts/cycles/run_A_all.py,health_signal,per_cycle_run,7,7,6,7,6.65,Baselining,header:seller_sku|error_10|error_100|failed_price_points|failure_recorded_utc,Failure queue for fee estimation coverage and health visibility.,2026-03-16T00:00:00Z
